TT        PID        AT        CT        IO_D        WT      RT      TRT
2487       199      2363        85         0        86        86       124
2487        41       168       199         0      2120      2314      2319

Processes: 206
Avg WT = 285.408      Avg RT = 187.417      Avg TRT = 313.641
Migration %:     RTF= 0%,      MaxW= 0%
Work Steal%: 210.194%
Forked Process: 61.165%
Killed Process: 14.0777%
Processes Finished before deadline: 92%
Processsors: 5 [ 3 FCFS, 0 SJF, 2 EDF, 0 RR ]
 ******** Processors Load *********
p1= 2.04458%,	
p2= 2.05386%,	
p3= 1.97957%,	
p4= 1.52144%,	
p5= 1.49203%,	

 ********* Processors Utiliz ********** 
p1= 90.0477%,	
p2= 90.4567%,	
p3= 90.3249%,	
p4= 73.8542%,	
p5= 72.9198%,	

AvgUtilization = 83.5207%
